@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
4717,'2018/02/13 20:12:01:803',18,0.504442,0.523721,0.606388,0.459716,0.522865,?
4718,'2018/02/13 20:12:01:811',18,0.50493,0.523336,0.606263,0.459716,0.522865,?
4719,'2018/02/13 20:12:01:830',18,0.5052,0.522432,0.605601,0.459716,0.522865,?
4720,'2018/02/13 20:12:01:868',18,0.50442,0.521663,0.605039,0.459716,0.522865,?
4721,'2018/02/13 20:12:01:870',18,0.504478,0.520144,0.604283,0.459716,0.522865,?
4722,'2018/02/13 20:12:01:908',18,0.504672,0.518853,0.603085,0.459716,0.522865,?
4723,'2018/02/13 20:12:01:912',18,0.504692,0.517179,0.602622,0.459716,0.522865,?
4724,'2018/02/13 20:12:01:931',18,0.504133,0.516045,0.602507,0.459716,0.522865,?
4725,'2018/02/13 20:12:01:932',18,0.503945,0.514792,0.601853,0.459716,0.522865,?
4726,'2018/02/13 20:12:01:960',18,0.503498,0.513438,0.601019,0.459716,0.522865,?
4727,'2018/02/13 20:12:01:987',18,0.503406,0.511423,0.600033,0.459716,0.522865,?
4728,'2018/02/13 20:12:01:991',18,0.503472,0.509709,0.598917,0.459716,0.522865,?
4729,'2018/02/13 20:12:02:010',18,0.503095,0.507964,0.598246,0.459716,0.522865,?
4730,'2018/02/13 20:12:02:037',18,0.502054,0.507058,0.597954,0.459716,0.522865,?
4731,'2018/02/13 20:12:02:056',18,0.501602,0.506,0.59715,0.459716,0.522865,?
4732,'2018/02/13 20:12:02:073',18,0.500929,0.5051,0.597022,0.459716,0.522865,?
4733,'2018/02/13 20:12:02:090',18,0.500068,0.504912,0.597191,0.459716,0.522865,?
4734,'2018/02/13 20:12:02:094',18,0.498904,0.505617,0.597612,0.459716,0.522865,?
4735,'2018/02/13 20:12:02:122',18,0.497771,0.506217,0.598248,0.459716,0.522865,?
4736,'2018/02/13 20:12:02:125',18,0.496807,0.507015,0.598788,0.459716,0.522865,?
4737,'2018/02/13 20:12:02:154',18,0.495844,0.508271,0.59897,0.459716,0.522865,?
4738,'2018/02/13 20:12:02:154',18,0.494304,0.509338,0.599958,0.459716,0.522865,?
4739,'2018/02/13 20:12:02:182',18,0.493139,0.510245,0.599964,0.459716,0.522865,?
4740,'2018/02/13 20:12:02:232',18,0.492437,0.511881,0.59997,0.459716,0.522865,?
4741,'2018/02/13 20:12:02:236',18,0.492129,0.51356,0.600252,0.459716,0.522865,?
4742,'2018/02/13 20:12:02:253',18,0.491579,0.515853,0.601603,0.459716,0.522865,?
4743,'2018/02/13 20:12:02:256',18,0.491688,0.518091,0.603307,0.459716,0.522865,?
4744,'2018/02/13 20:12:02:273',18,0.492791,0.520281,0.604478,0.459716,0.522865,?
4745,'2018/02/13 20:12:02:277',18,0.493295,0.52272,0.606306,0.459716,0.522865,?
4746,'2018/02/13 20:12:02:296',18,0.49459,0.524792,0.607027,0.459716,0.522865,?
4747,'2018/02/13 20:12:02:313',18,0.495978,0.526554,0.608195,0.459716,0.522865,?
4748,'2018/02/13 20:12:02:329',18,0.497158,0.528052,0.610021,0.459716,0.522865,?
4749,'2018/02/13 20:12:02:337',18,0.499027,0.529036,0.61074,0.459716,0.522865,?
4750,'2018/02/13 20:12:02:354',18,0.500471,0.529585,0.611351,0.459716,0.522865,?
4751,'2018/02/13 20:12:02:357',18,0.501843,0.529763,0.611593,0.459716,0.522865,?
4752,'2018/02/13 20:12:02:367',18,0.503153,0.529337,0.611799,0.459716,0.522865,?
4753,'2018/02/13 20:12:02:396',18,0.504843,0.528975,0.611696,0.459716,0.522865,?
4754,'2018/02/13 20:12:02:412',18,0.505992,0.52809,0.61133,0.459716,0.522865,?
4755,'2018/02/13 20:12:02:418',18,0.507256,0.527049,0.609631,0.459716,0.522865,?
4756,'2018/02/13 20:12:02:435',18,0.507322,0.525588,0.608464,0.459716,0.522865,?
4757,'2018/02/13 20:12:02:439',18,0.507377,0.523481,0.606639,0.459716,0.522865,?
4758,'2018/02/13 20:12:02:456',18,0.50728,0.520536,0.604254,0.459716,0.522865,?
4759,'2018/02/13 20:12:02:460',18,0.506765,0.517744,0.601394,0.459716,0.522865,?
4760,'2018/02/13 20:12:02:479',18,0.506039,0.514505,0.598685,0.459716,0.522865,?
4761,'2018/02/13 20:12:02:480',18,0.505422,0.511464,0.596104,0.459716,0.522865,?
4762,'2018/02/13 20:12:02:497',18,0.50432,0.508879,0.594466,0.459716,0.522865,?
4763,'2018/02/13 20:12:02:500',18,0.502806,0.506393,0.59363,0.459716,0.522865,?
4764,'2018/02/13 20:12:02:518',18,0.500655,0.504281,0.593474,0.459716,0.522865,?
4765,'2018/02/13 20:12:02:520',18,0.498393,0.502485,0.593064,0.459716,0.522865,?
4766,'2018/02/13 20:12:02:538',18,0.496615,0.501535,0.59216,0.459716,0.522865,?
